Name,Straße,PLZ/Stadt,Sterne,Bewertungen
Mensa Claudiusstraße ,Claudiusstraße 1,50678 Köln,"3,5",414
Mensa Kunsthochschule Medien ,Filzengraben 2-4,50676 Köln,"3,1",43
Mensa Musikhochschule ,Dagobertstraße 38,50668 Köln,"3,6",345
Mensa Sporthochschule ,Am Sportpark Müngersdorf 2,50933 Köln,"3,5",1.858
Mensa Frankenring ,Frankenring 20,47798 Krefeld,"3,2",174
Mensa Da Vinci ,Leonardo-Campus 8,48149 Münster,"3,7",4.632
Bistro Denkpause ,Corrensstraße 25,48149 Münster,"3,2",2.376
Mensa UPB ,Warburger Straße 100,33098 Paderborn,"3,5",2.081
Mensa Forum ,Warburger Straße 100,33098 Paderborn,"3,6",918
Hauptmensa Essen ,Segerothstraße 10,45127 Essen,"3,3",630
Mensa Universitätsstraße ,Universitätsstraße 1,40225 Düsseldorf,"3,3",2.919
u-café ,Lotharstraße 65,47057 Duisburg,"3,4",40
Mensa Süd ,August-Schmidt-Straße 2,44227 Dortmund,"3,3",130
Mensa Emilienstraße ,Emilienstraße 45,32756 Detmold,"3,2",223
Mensa Neustadt ,Neustadt 22,32756 Detmold,"3,5",103
venusberg bistro ,Sigmund-Freud-Straße 25,53127 Bonn,"3,4",2.025
Mensa TH Georg Agricola ,Herner Straße 45,44787 Bochum,"3,1",118
Rote Bete ,Universitätsstraße 150,44801 Bochum,"3,1",100
Cafeteria sowls ,Universitätsstraße 25,33615 Bielefeld,"3,6",1.181
Mensa Vita ,Helmertweg 1,52074 Aachen,"3,5",10.383
Mensa Ahornstraße ,Ahornstraße 55,52074 Aachen,"3,4",2.906
Mensa Tarforst ,Universitätsring 15,54296 Trier,"3,3",2.730
Geo-Mensa Petrisberg ,Behringstraße 6a,54296 Trier,"3,5",666
ForU ,Universitätsring 15,54296 Trier,"3,2",39
Bistro A/B - Abendmensa ,Universitätsring 15,54296 Trier,-,-
Zentralmensa ,Staudingerweg 15,55128 Mainz,"3,6",2.411
Mini Mensa Sport ,Albert-Schweitzer-Straße 22,55128 Mainz,-,-
Mini Mensa Campusgarten ,Staudingerweg 18,55128 Mainz,-,-
Mini Mensa Biochemie ,Hanns-Dieter-Hüsch-Weg 15,55128 Mainz,-,-
Mensaria ,Staudingerweg 15,55128 Mainz,"3,4",503
Mensablitz ,Staudingerweg 15,55128 Mainz,-,-
Mensa Bambus ,Jakob-Welder-Weg 12,55128 Mainz,"3,5",691
Foodtruck ,Staudingerweg 15,55128 Mainz,-,-
Cafeteria im ReWi ,Jakob-Welder-Weg 9,55128 Mainz,"3,2",276
Mensa K3 ,Lucy-Hillebrandt-Straße 4,55128 Mainz,"3,5",198
Mensa Holzstraße ,Holzstraße 36,55116 Mainz,"3,7",106
Bistro A/B ,Universitätsring 15,54296 Trier,"3,4",191
Mensa Schneidershof ,Schneidershof,54293 Trier,"3,6",6.599
Mensa Irminenfreihof ,Irminenfreihof 8,54290 Trier,"3,2",251
Mensa Academica ,Pontwall 3,52062 Aachen,"3,4",33.731
Bistro Templergraben ,Templergraben 55,52062 Aachen,"3,4",4.194
Mensa Südpark ,Weißhausstraße 2,52066 Aachen,"3,6",645
Mensa KMAC ,Hohenstaufenallee 20-22,52064 Aachen,"3,7",6.064
Mensa Eupener Straße ,Eupener Straße 70,52066 Aachen,"3,5",7.224
Mensa Bayernallee ,Bayernallee 9,52066 Aachen,"3,7",2.706
Mensa X ,Universitätsstraße 25,33615 Bielefeld,"3,6",21.464
Cafeteria X ,Universitätsstraße 25,33615 Bielefeld,"3,7",208
Cafeteria Lampingstraße ,Lampingstraße 3,33615 Bielefeld,"3,7",67
Cafeteria HSBI ,Interaktion 1,33619 Bielefeld,"3,5",167
Mensa Ruhr-Universität Bochum ,Universitätsstraße 150,44801 Bochum,"3,1",428
